Year   terrorism     terrorist    occupation    narcotic      violation     democracy       development
2000       0            0             0            0             0             0                0
2001       0            0             0            0             0             0                1
2002       0            0             0            0             0             0                0
2003       0            0             0            0             0             0                0
2004       0            0             0            0             0             0                0
2005       1            0             0            0             0             2                0
2006       29           0             1            3             0             4                4
2007       46           5             2            4             3             22               9
2008       163          55            8            44            35            62               38
2009       963          76            20           27            23            114              111
2010       561          80            243          84            56            195              319
2011       1103         140           191          92            118           640              249
2012       999          334           234          112           89            745              345
2013       3226         660           1029         88            439           2307             1049
2014       3333         989           1649         284           381           1462             1298
2015       306          51            35            3            15            56               90
